timestamp,x,y,theta,vx,vy,omega,leftVel,rightVel,imuYaw,gyroZ,accelX,accelY
4158627350,0,0,-1.4596,0,0,0.0821488,0,0,276.38,0.19,-0.03,-0.07
4158627549,0,0,-1.45833,0,0,0.0339146,0,0,276.38,0,-0.04,-0.05
4158627751,0,0,-1.45917,0,0,-0.0386144,0,0,276.38,-0.06,-0.05,-0.05
4158627959,0,0,-1.45915,0,0,0.0512546,0,0,276.38,0.06,-0.05,-0.09
4158628154,0,0,-1.45931,0,0,-0.0176152,0,0,276.38,0,-0.03,-0.04
4158628357,0,0,-1.45789,0,0,0.0530876,0,0,276.38,0.06,-0.03,-0.05
4158628557,0,0,-1.46016,0,0,-0.0351717,0,0,276.38,0,-0.04,-0.06
4158628770,0,0,-1.45844,0,0,0.0917182,0,0,276.38,0.13,-0.06,-0.06
4158628969,0,0,-1.45954,0,0,0.0129048,0,0,276.38,0.06,-0.02,-0.06
4158629170,0,0,-1.4596,0,0,0.0802446,0,0,276.38,0.13,-0.02,-0.06
4158629369,0,0,-1.46082,0,0,-0.0422421,0,0,276.38,0,-0.05,-0.04
4158629571,0,0,-1.45943,0,0,-0.0934562,0,0,276.38,-0.13,-0.02,-0.06
4158629761,0,0,-1.4583,0,0,-0.0264125,0,0,276.38,-0.06,-0.06,-0.07
